country,confederation,year_start,year_end
Abkhazia,CONIFA,2014,
Afghanistan,AFC,1954,
Aland Islands,,,
Albania,UEFA,1954,
Alderney,,,
Algeria,CAF,1964,
American Samoa,OFC,1986,
Andalusia,,,
Andorra,UEFA,1996,
Angola,CAF,1976,
Anguilla,CONCACAF,1996,
Antigua and Barbuda,CONCACAF,1974,
Arameans Suryoye,CONIFA,2014,
Argentina,CONMEBOL,1916,
Armenia,UEFA,1992,
Artsakh,CONIFA,2014,2023
Aruba,CONCACAF,1988,
Australia,AFC,2006,
Austria,UEFA,1954,
Aymara,,,
Azerbaijan,UEFA,1994,
Bahamas,CONCACAF,1984,
Bahrain,AFC,1966,
Bangladesh,AFC,1973,
Barawa,CONIFA,2014,
Barbados,CONCACAF,1968,
Basque Country,CONIFA,2015,
Belarus,UEFA,1993,
Belgium,UEFA,1954,
Belize,CONCACAF,1986,
Benin,CAF,1962,
Bermuda,CONCACAF,1964,
Bhutan,AFC,1983,
Biafra,CONIFA,2017,
Bolivia,CONMEBOL,1926,
Bonaire,CONCACAF,2013,
Bosnia and Herzegovina,UEFA,1996,
Botswana,CAF,1976,
Brazil,CONMEBOL,1916,
British Virgin Islands,CONCACAF,1974,
Brittany,CONIFA,2015,
Brunei,AFC,1969,
Bulgaria,UEFA,1954,
Burkina Faso,CAF,1964,
Burundi,CAF,1972,
Cambodia,AFC,1957,
Cameroon,CAF,1963,
Canada,CONCACAF,1961,
Canary Islands,,,
Cape Verde,CAF,1986,
Cascadia,CONIFA,2015,
Catalonia,CONIFA,2014,
Cayman Islands,CONCACAF,1992,
Central African Republic,CAF,1963,
Central Spain,,,
Chad,CAF,1964,
Chagos Islands,CONIFA,2016,
Chameria,,,
Chechnya,CONIFA,2014,2019
Chile,CONMEBOL,1916,
China PR,AFC,1974,
Colombia,CONMEBOL,1936,
Comoros,CAF,2003,
Congo,CAF,1966,
Cook Islands,OFC,1994,
Corsica,CONIFA,2015,
Costa Rica,CONCACAF,1961,
County of Nice,CONIFA,2014,
Croatia,UEFA,1993,
Cuba,CONCACAF,1961,
Curazao,CONCACAF,1961,
Cyprus,UEFA,1962,
Czech Republic,UEFA,1994,
Czechoslovakia,UEFA,1954,1993
Darfur,CONIFA,2014,
Delvidek,,,
Denmark,UEFA,1954,
Djibouti,CAF,1994,
Dominica,CONCACAF,1978,
Dominican Republic,CONCACAF,1964,
Donetsk PR,CONIFA,2015,
DR Congo,CAF,1962,
Ecuador,CONMEBOL,1927,
Egypt,CAF,1957,
El Salvador,CONCACAF,1961,
Elba Island,,,
Ellan Vannin,CONIFA,2014,
England,UEFA,1954,
Equatorial Guinea,CAF,1986,
Eritrea,CAF,1998,
Estonia,UEFA,1992,
Eswatini,CAF,1978,
Ethiopia,CAF,1957,
Falkland Islands,,,
Faroe Islands,UEFA,1988,
Felvidek,CONIFA,2015,
Fiji,OFC,1966,
Finland,UEFA,1954,
France,UEFA,1954,
Franconia,CONIFA,2014,
French Guiana,CONCACAF,2013,
Froya,,,
Gabon,CAF,1966,
Gagauzia,CONIFA,2015,
Galicia,,,
Gambia,CAF,1968,
Georgia,UEFA,1992,
German DR,UEFA,1954,
Germany,UEFA,1954,
Ghana,CAF,1958,
Gibraltar,UEFA,2013,
Gotland,,,
Gozo,CONIFA,2014,
Greece,UEFA,1954,
Greenland,,,
Grenada,CONCACAF,1978,
Guadeloupe,CONCACAF,2013,
Guam,AFC,1996,
Guatemala,CONCACAF,1961,
Guernsey,,,
Guinea,CAF,1962,
Guinea-Bissau,CAF,1986,
Guyana,CONCACAF,1961,
Haiti,CONCACAF,1961,
Hitra,CONIFA,2018,
Hmong,CONIFA,2014,
Honduras,CONCACAF,1961,
Hong Kong,AFC,1954,
Hungary,UEFA,1954,
Iceland,UEFA,1954,
India,AFC,1954,
Indonesia,AFC,1954,
Iran,AFC,1958,
Iraq,AFC,1971,
Iraqi Kurdistan,,,
Isle of Man,,,
Isle of Wight,,,
Israel,UEFA,1994,
Italy,UEFA,1954,
